Gene.Name	Approved.Name	Hugo.Gene.Family	HPRD.Function	nodeType	Domains	Compartment	Compartment.Overview
CLTC	clathrin heavy chain	undefined	Structural molecule activity (GO:0005198)	undefined	CLH	cytosol; cytoskeleton; microtubules; Golgi; plasma membrane; endosome	endolysosome.system
CLTCL1	clathrin heavy chain like 1	undefined	Intracellular transporter activity (GO:0005478)	undefined	CLH	cytoskeleton; microtubules; Golgi; endosome	endolysosome.system
CLU	clusterin	undefined	Complement activity (GO:0003811)	undefined	undefined	secretion	plasma.membrane
CLUAP1	clusterin associated protein 1	Intraflagellar transport proteins	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus	nucleus
CLUH	clustered mitochondria (cluA/CLU1) homolog	undefined	undefined	undefined	undefined	undefined	undefined
CLUL1	clusterin like 1	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
CLVS1	clavesin 1	undefined	Molecular function unknown (GO:0005554)	undefined	SEC14	Golgi; endosome	endolysosome.system
CLVS2	clavesin 2	undefined	Transporter activity (GO:0005215)	undefined	SEC14	Golgi; endosome	endolysosome.system
CLYBL	citrate lyase beta like	undefined	Lyase activity (GO:0016829)	undefined	undefined	undefined	undefined
CMA1	chymase 1, mast cell	undefined	Serine-type peptidase activity (GO:0008236)	undefined	TRYPSIN	undefined	plasma.membrane
CMAHP	undefined	undefined	undefined	undefined	undefined	nucleus; cytoskeleton	cytoskeleton
CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase	undefined	Ligase activity (GO:0016874)	undefined	undefined	nucleus	nucleus
CMBL	carboxymethylenebutenolidase homolog (Pseudomonas)	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	plasma.membrane
CMC1	C-x(9)-C motif containing 1	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
CMC2	C-x(9)-C motif containing 2	undefined	undefined	undefined	undefined	undefined	undefined
CMC4	C-x(9)-C motif containing 4	undefined	undefined	undefined	undefined	undefined	undefined
CMIP	c-Maf inducing protein	undefined	undefined	undefined	undefined	nucleus	nucleus
CMKLR1	chemerin chemokine-like receptor 1	Chemerin receptor	G-protein coupled receptor activity (GO:0004930)	G protein-coupled receptor	TM	plasma membrane	plasma.membrane
CMPK1	cytidine/uridine monophosphate kinase 1	undefined	Catalytic activity (GO:0003824)	undefined	undefined	nucleus; nucleolus; cytosol	plasma.membrane
CMPK2	cytidine/uridine monophosphate kinase 2	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus	nucleus
CMSS1	cms1 ribosomal small subunit homolog (yeast)	undefined	undefined	undefined	undefined	undefined	undefined
CMTM1	CKLF like MARVEL transmembrane domain containing 1	CKLF-like MARVEL transmembrane domain containing	Chemokine activity (GO:0008009)	membrane protein	TM	undefined	undefined
CMTM2	CKLF like MARVEL transmembrane domain containing 2	CKLF-like MARVEL transmembrane domain containing	Molecular function unknown (GO:0005554)	membrane protein	TM	nucleus	nucleus
CMTM3	CKLF like MARVEL transmembrane domain containing 3	CKLF-like MARVEL transmembrane domain containing	Chemokine activity (GO:0008009)	membrane protein	TM	undefined	undefined
CMTM4	CKLF like MARVEL transmembrane domain containing 4	CKLF-like MARVEL transmembrane domain containing	Molecular function unknown (GO:0005554)	membrane protein	TM	undefined	undefined
CMTM5	CKLF like MARVEL transmembrane domain containing 5	CKLF-like MARVEL transmembrane domain containing	Molecular function unknown (GO:0005554)	membrane protein	TM	undefined	undefined
CMTM6	CKLF like MARVEL transmembrane domain containing 6	CKLF-like MARVEL transmembrane domain containing	Chemokine activity (GO:0008009)	membrane protein	TM	undefined	plasma.membrane
CMTM7	CKLF like MARVEL transmembrane domain containing 7	CKLF-like MARVEL transmembrane domain containing	Molecular function unknown (GO:0005554)	membrane protein	MARVEL	undefined	undefined
CMTM8	CKLF like MARVEL transmembrane domain containing 8	CKLF-like MARVEL transmembrane domain containing	Chemokine activity (GO:0008009)	membrane protein	TM	nucleus	nucleus
CMTR1	cap methyltransferase 1	G-patch domain containing	undefined	undefined	undefined	undefined	undefined
CMTR2	cap methyltransferase 2	undefined	undefined	undefined	undefined	undefined	undefined
CMYA5	cardiomyopathy associated 5	Tripartite motif-containing|A-kinase anchoring proteins|Fibronectin type III domain containing	Molecular function unknown (GO:0005554)	undefined	SPRY, BBC, FN3	undefined	undefined
CNBD1	cyclic nucleotide binding domain containing 1	undefined	Molecular function unknown (GO:0005554)	undefined	CNMP	undefined	undefined
CNBD2	cyclic nucleotide binding domain containing 2	undefined	undefined	undefined	undefined	undefined	undefined
CNBP	CCHC-type zinc finger, nucleic acid binding protein	Ring finger proteins|Zinc fingers, CCHC-type	RNA binding (GO:0003723)	transcription factor	ZnF_C2HC, ZNFC2	nucleus; cytosol; endoplasmic reticulum	ER.Golgi
CNDP1	carnosine dipeptidase 1 (metallopeptidase M20 family)	undefined	Metallopeptidase activity (GO:0008237)	undefined	undefined	undefined	plasma.membrane
CNDP2	CNDP dipeptidase 2 (metallopeptidase M20 family)	undefined	Metallopeptidase activity (GO:0008237)	undefined	undefined	cytosol	plasma.membrane
CNEP1R1	CTD nuclear envelope phosphatase 1 regulatory subunit 1	undefined	undefined	undefined	undefined	nucleus; endoplasmic reticulum	ER.Golgi
CNFN	cornifelin	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	plasma membrane	plasma.membrane
CNGA1	cyclic nucleotide gated channel alpha 1	Cyclic nucleotide gated channels	Intracellular ligand-gated ion channel activity (GO:0005217)	membrane protein	TM, CNMP	plasma membrane	plasma.membrane
CNGA2	cyclic nucleotide gated channel alpha 2	Cyclic nucleotide gated channels	Intracellular ligand-gated ion channel activity (GO:0005217)	membrane protein	TM, CNMP	Golgi; plasma membrane	ER.Golgi
CNGA3	cyclic nucleotide gated channel alpha 3	Cyclic nucleotide gated channels	Intracellular ligand-gated ion channel activity (GO:0005217)	membrane protein	TM, CNMP	undefined	undefined
CNGA4	cyclic nucleotide gated channel alpha 4	Cyclic nucleotide gated channels	Channel or pore class transporter activity (GO:0015267)	membrane protein	TM, CNMP	Golgi; plasma membrane	ER.Golgi
CNGB1	cyclic nucleotide gated channel beta 1	Cyclic nucleotide gated channels	Intracellular ligand-gated ion channel activity (GO:0005217)	membrane protein	CNMP	Golgi; plasma membrane	ER.Golgi
CNGB3	cyclic nucleotide gated channel beta 3	Cyclic nucleotide gated channels	Auxiliary transport protein activity (GO:0015457)	membrane protein	TM, CNMP	undefined	undefined
CNIH	undefined	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	undefined	undefined
CNIH1	cornichon family AMPA receptor auxiliary protein 1	undefined	undefined	undefined	undefined	undefined	undefined
CNIH2	cornichon family AMPA receptor auxiliary protein 2	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	plasma membrane; channel	plasma.membrane
CNIH3	cornichon family AMPA receptor auxiliary protein 3	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	plasma membrane; channel	plasma.membrane
CNIH4	cornichon family AMPA receptor auxiliary protein 4	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	endoplasmic reticulum; Golgi	ER.Golgi
CNKSR1	connector enhancer of kinase suppressor of Ras 1	Pleckstrin homology domain containing|Sterile alpha motif (SAM) domain containing	Kinase binding (GO:0019900)	undefined	PDZ, SAM, PH	plasma membrane	plasma.membrane
CNKSR2	connector enhancer of kinase suppressor of Ras 2	Pleckstrin homology domain containing|Sterile alpha motif (SAM) domain containing	Molecular function unknown (GO:0005554)	undefined	PDZ, PH, SAM	Golgi; plasma membrane	ER.Golgi
CNKSR3	CNKSR family member 3	Sterile alpha motif (SAM) domain containing	Molecular function unknown (GO:0005554)	undefined	PDZ, SAM	undefined	undefined
CNN1	calponin 1	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	CH	cytoskeleton	cytoskeleton
CNN2	calponin 2	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	CH	cytoskeleton; actin; myosin	cytoskeleton
CNN3	calponin 3	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	CH	cytoskeleton; actin	cytoskeleton
CNNM1	cyclin and CBS domain divalent metal cation transport mediator 1	undefined	Molecular function unknown (GO:0005554)	transcription factor	CBS	undefined	undefined
CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2	undefined	Molecular function unknown (GO:0005554)	membrane protein	CBS, CNMP	plasma membrane	plasma.membrane
CNNM3	cyclin and CBS domain divalent metal cation transport mediator 3	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	undefined	undefined
CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM, CBS, CNMP	undefined	undefined
CNO	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
CNOT1	CCR4-NOT transcription complex subunit 1	CCR4-NOT transcription complex	Transcription regulator activity (GO:0030528)	transcription regulator	TM	RNA-associated; nucleus; cytosol	plasma.membrane
CNOT10	CCR4-NOT transcription complex subunit 10	CCR4-NOT transcription complex|Tetratricopeptide repeat domain containing	Molecular function unknown (GO:0005554)	undefined	TPR	cytosol	undefined
CNOT11	CCR4-NOT transcription complex subunit 11	CCR4-NOT transcription complex	undefined	undefined	undefined	undefined	undefined
CNOT2	CCR4-NOT transcription complex subunit 2	CCR4-NOT transcription complex	Transcription regulator activity (GO:0030528)	transcription regulator	undefined	nucleus; cytosol	nucleus
CNOT3	CCR4-NOT transcription complex subunit 3	CCR4-NOT transcription complex	Transcription regulator activity (GO:0030528)	undefined	undefined	undefined	undefined
CNOT4	CCR4-NOT transcription complex subunit 4	CCR4-NOT transcription complex|RNA binding motif containing	Transcription regulator activity (GO:0030528)	undefined	RRM, RING	cytosol	undefined
CNOT6	CCR4-NOT transcription complex subunit 6	CCR4-NOT transcription complex	Endonuclease activity (GO:0004519)	undefined	LRR	cytosol	undefined
CNOT6L	CCR4-NOT transcription complex subunit 6-like	CCR4-NOT transcription complex	Transcription regulator activity (GO:0030528)	undefined	LRR	nucleus; cytosol	nucleus
CNOT7	CCR4-NOT transcription complex subunit 7	CCR4-NOT transcription complex	Transcription regulator activity (GO:0030528)	transcription regulator	undefined	RNA-associated; nucleus; cytosol	RNA.associated
CNOT8	CCR4-NOT transcription complex subunit 8	CCR4-NOT transcription complex	Transcription regulator activity (GO:0030528)	undefined	undefined	nucleus; cytosol	nucleus
CNP	2,3-cyclic nucleotide 3 phosphodiesterase, Approved,,17q21,,25220, CNPPD1, cyclin Pas1/PHO80 domain containing 1, C2orf24, CGI-57,2q36, AF070638, NM_015680,27786, CNPY1, canopy FGF signaling regulator 1, Approved,,7q36.3,XM_001129537,13529, CNPY2, canopy FGF signaling regulator 2, TMEM4, HP10390, ZSIG9, Cnpy2,12q13.3, AB015631, NM_014255,11968, CNPY3, canopy FGF signaling regulator 3, TNRC5, CAG4A,6p21.1, U80744, NM_006586, Trinucleotide repeat containing, 28631, CNPY4, canopy FGF signaling regulator 4, Approved,MGC40499, PRAT4B, "protein associated with TLR4", 7q22.1, AK075537, NM_152755,2159, CNR1, cannabinoid receptor 1 (brain), CNR, CB1K5, CB-R, CB1, CANN6, CB1A,6q14-q15, AF107262,Cannabinoid receptors, 2160, CNR2, cannabinoid receptor 2, Approved,CB2,1p, X74328, NM_001841, Cannabinoid receptors, 24546, CNRIP1, cannabinoid receptor interacting protein 1, C2orf32, DKFZP566K1924, CRIP1, CRIP1a, CRIP1b,2p13, AL110235, NM_015463,26486, CNST, consortin, connexin sorting protein, C1orf71, FLJ32001, PPP1R64, "protein phosphatase 1, regulatory subunit 64", 1q44, AK056563, NM_152609, Protein phosphatase 1 regulatory subunits, 26847, CNTD1, cyclin N-terminal domain containing 1, CNTD, FLJ40137,17q21.31, AK097456, NM_173478,25805, CNTD2, cyclin N-terminal domain containing 2, Approved,FLJ13265, CCNP, "cyclin P", 19q13.2, AK023327, NM_024877,2169, CNTF, ciliary neurotrophic factor, Approved,HCNTF,11q12, BC068030, NM_000614,2170, CNTFR, ciliary neurotrophic factor receptor, Approved,,9p13, M73238,Fibronectin type III domain containing|Immunoglobulin-like domain containing, 23432, CNTLN, centlein, C9orf101, C9orf39, FLJ20276, bA340N12.1, OTTHUMG00000019597,9p22.2-p22.1, AK000283, NM_017738,2171, CNTN1, contactin 1, Approved,F3, GP135, "glycoprotein gP135", 12q12, Z21488, NM_001843, Fibronectin type III domain containing|I-set domain containing|Immunoglobulin-like domain containing|Endogenous ligands, 2172, CNTN2, contactin 2, TAX, AXT, TAG-1, TAX1,1q32.1, X67734, NM_005076, Fibronectin type III domain containing|I-set domain containing|Immunoglobulin-like domain containing, 2173, CNTN3, contactin 3, PANG, BIG-1,3p12.3, AB040929, NM_020872, Fibronectin type III domain containing|I-set domain containing|Immunoglobulin-like domain containing, 2174, CNTN4, contactin 4, Approved,BIG-2,3p26.3, AW665944,Fibronectin type III domain containing|I-set domain containing|Immunoglobulin-like domain containing, 2175, CNTN5, contactin 5, Approved,NB-2, hNB-2,11q22.1, AB013802, NM_014361, Fibronectin type III domain containing|I-set domain containing|Immunoglobulin-like domain containing, 2176, CNTN6, contactin 6, Approved,NB-3, "neural adhesion molecule", 3p26.3, AB003592, NM_014461, Fibronectin type III domain containing|I-set domain containing, 8011, CNTNAP1, contactin associated protein 1, NRXN4, p190, Caspr, CNTNAP, "neurexin 4", 17q21, U87223, NM_003632,13830, CNTNAP2, contactin associated protein-like 2, Approved,Caspr2, KIAA0868, NRXN4,7q35, AF193613, 13834, CNTNAP3, contactin associated protein-like 3, Approved,CASPR3, KIAA1714, FLJ14195, CNTNAP3A, "cell recognition molecule CASPR3 (FLJ14195, KIAA1714)", 9q12, AF333769, NM_033655,32035, CNTNAP3B, contactin associated protein-like 3B, Approved,,9p12, BX538190, 18747, CNTNAP4, contactin associated protein-like 4, Approved,CASPR4, KIAA1763,16q23.1, AB051550, NM_033401,18748, CNTNAP5, contactin associated protein-like 5, Approved,caspr5, FLJ31966,2q14.1, AB077881, 1858, CNTRL, centriolin, CEP1, CEP110, 9q33.2, AF513978, NM_007018,29616, CNTROB, centrobin, centrosomal BRCA2 interacting protein, Approved,LIP8, PP1221, "centrobin", 17p13.1, AF331638, NM_053051,21868, COA1, cytochrome c oxidase assembly factor 1 homolog, C7orf44, FLJ10803, MITRAC15,7p13, AK001665, NM_018224, Mitochondrial respiratory chain complex assembly factors, 24990, COA3, cytochrome c oxidase assembly factor 3, CCDC56, HSPC009, MITRAC12,17q21.31, AF070665, NM_014019, Mitochondrial respiratory chain complex assembly factors, 24604, COA4, cytochrome c oxidase assembly factor 4 homolog, CHCHD8, E2IG2, CMC3,11q13.4, AF242180, NM_016565, Coiled-coil-helix-coiled-coil-helix domain containing|Mitochondrial respiratory chain complex assembly factors, 33848, COA5, cytochrome c oxidase assembly factor 5, C2orf64, MGC52110, FLJ27524, Pet191,2q11.2,NM_001008215, Mitochondrial respiratory chain complex assembly factors, 18025, COA6, cytochrome c oxidase assembly factor 6, C1orf31, 1q42.2,NM_001012985, Mitochondrial respiratory chain complex assembly factors, 25716, COA7, cytochrome c oxidase assembly factor 7 (putative), C1orf163, SELRC1, FLJ12439, RESA1, "respiratory chain assembly 1", 1p32.3, AK022501, NM_023077, Mitochondrial respiratory chain complex assembly factors, 29932, COASY, Coenzyme A synthase, Approved,DPCK, NBP, CoASY, PPAT,17q21.2, AF453478, NM_025233,22199, COBL, cordon-bleu WH2 repeat protein, Approved,KIAA0633,7p12.2-p12.1, AB014533, NM_015198,23571, COBLL1, cordon-bleu WH2 repeat protein like 1, Approved,KIAA0977,2q24.3, AB023194, NM_014900,2180, COCH, cochlin, DFNA31, DFNA9, COCH-5B2,14q11.2-q13,NM_004086,6545, COG1, component of oligomeric golgi complex 1, LDLB, KIAA1381,17q25.1, Components of oligomeric golgi complex, 6546, COG2, component of oligomeric golgi complex 2, LDLC, 1q42.2, Z34975, NM_007357, Components of oligomeric golgi complex, 18619, COG3, component of oligomeric golgi complex 3, Approved,SEC34,13q14.11, AF131829,Components of oligomeric golgi complex, 18620, COG4, component of oligomeric golgi complex 4, Approved,COD1, DKFZP586E1519,16q22.1, AL050101,Components of oligomeric golgi complex, 14857, COG5, component of oligomeric golgi complex 5, GOLTC1, GTC90,7q31, AF058718,Components of oligomeric golgi complex, 18621, COG6, component of oligomeric golgi complex 6, Approved,COD2, KIAA1134,13q13.2, AK026638,Components of oligomeric golgi complex, 18622, COG7, component of oligomeric golgi complex 7, Approved,,16p12.2, AF070568,Components of oligomeric golgi complex, 18623, COG8, component of oligomeric golgi complex 8, Approved,FLJ22315, DOR1,16q22.1, AK025968, NM_032382, Components of oligomeric golgi complex, 2184, COIL, coilin, Approved,CLN80, p80-coilin,17q22, U06632, 2197, COL1A1, collagen type I alpha 1, Approved,OI4,17q21.33, Z74615,Collagens, 2198, COL1A2, collagen type I alpha 2, OI4,"alpha 2(I)-collagen", "alpha-2 collagen type I", "type I procollagen", "collagen I, alpha-2 polypeptide", "collagen of skin, tendon and bone, alpha-2 chain", 7q21.3, Z74616, NM_000089, Collagens, 2200, COL2A1, collagen type II alpha 1, SEDC, AOM, STL1,12q12-q13.2, X16468, NM_001844, Collagens, 2201, COL3A1, collagen type III alpha 1, EDS4A, 2q32.2, X15332, NM_000090, Collagens, 2202, COL4A1, collagen type IV alpha 1, Approved,,13q34, J04217,Collagens, 2203, COL4A2, collagen type IV alpha 2, Approved,FLJ22259, DKFZp686I14213, "canstatin", "collagen type IV alpha 2", 13q34, AK025912, NM_001846, Collagens, 2204, COL4A3, collagen type IV alpha 3, "tumstatin", 2q36-q37,NM_000091, Collagens, 2205, COL4A3BP, collagen type IV alpha 3 binding protein, Approved,GPBP, STARD11, CERT, "ceramide transporter", "StAR-related lipid transfer (START) domain containing 11", 5q13.3, AF136450, NM_005713, Pleckstrin homology domain containing|StAR-related lipid transfer domain containing, 2206, COL4A4, collagen type IV alpha 4, Approved,CA44, "collagen of basement membrane, alpha-4 chain", 2q35-q37,NM_000092, Collagens, 2207, COL4A5, collagen type IV alpha 5, ASLN, ATS, Xq22, M90464,Collagens, 2208, COL4A6, collagen type IV alpha 6, Approved,,Xq22, U04845,Collagens, 2209, COL5A1, collagen type V alpha 1, "alpha 1 type V collagen", 9q34.2-q34.3, D90279, NM_000093, Collagens, 2210, COL5A2, collagen type V alpha 2, "AB collagen", 2q14-q32, Y14690, NM_000393, Collagens, 14864, COL5A3, collagen type V alpha 3, Approved,,19p13.2, AF177941, NM_015719, Collagens, 2211, COL6A1, collagen type VI alpha 1, Approved,,21q22.3, M20776, NM_001848, Collagens, 2212, COL6A2, collagen type VI alpha 2, Approved,,21q22.3, M20777,Collagens, 2213, COL6A3, collagen type VI alpha 3, Approved,,2q37, X52022, NM_004369, Collagens, 26674, COL6A5, collagen type VI alpha 5, COL29A1, FLJ35880, VWA4, "von Willebrand factor A domain containing 4", 3q21.3, AK093199, NM_153264, Collagens, 27023, COL6A6, collagen type VI alpha 6, Approved,,3q22.1, AL713792, NM_001102608, Collagens, 2214, COL7A1, collagen type VII alpha 1, EBDCT, EBD1, EBR1,"collagen VII, alpha-1 polypeptide", "LC collagen", 3p21.1, L02870, NM_000094, Collagens|Fibronectin type III domain containing, 2215, COL8A1, collagen type VIII alpha 1, C3orf7, MGC9568,3q11.1-q13.2, AF170702, NM_001850, Collagens, 2216, COL8A2, collagen type VIII alpha 2, FECD, PPCD, FECD1, PPCD2,1p34.2-p32.3, M60832, NM_005202, Collagens, 2217, COL9A1, collagen type IX alpha 1, Approved,,6q13, Collagens|Collagen proteoglycans, 2218, COL9A2, collagen type IX alpha 2, EDM2, MED,1p33-p32, M95610, NM_001852, Collagens|Collagen proteoglycans, 2219, COL9A3, collagen type IX alpha 3, Approved,IDD, MED, EDM3, FLJ90759, DJ885L7.4.1, "collagen type IX proteoglycan", 20q13.3, AK075240, NM_001853, Collagens|Collagen proteoglycans, 2185, COL10A1, collagen type X alpha 1, "Schmid metaphyseal chondrodysplasia", 6q21-q22, Collagens, 2186, COL11A1, collagen type XI alpha 1, COLL6, STL2, CO11A1, "collagen XI, alpha-1 polypeptide", 1p21, J04177, NM_080630, Collagens, 2187, COL11A2, collagen type XI alpha 2, DFNA13, DFNB53, HKE5,6p21.3, U32169,Collagens, 2188, COL12A1, collagen type XII alpha 1, COL12A1L,"collagen type XII proteoglycan", 6q12-q13, U73779, NM_004370, Collagens|Fibronectin type III domain containing|Collagen proteoglycans, 2190, COL13A1, collagen type XIII alpha 1, Approved,,10q22, AJ293624, NM_005203, Collagens, 2191, COL14A1, collagen type XIV alpha 1, UND, 8q23,NM_021110, Collagens|Fibronectin type III domain containing, 2192, COL15A1, collagen type XV alpha 1, "collagen type XV proteoglycan", 9q21-q22, L25286, NM_001855, Collagens|Collagen proteoglycans, 2193, COL16A1, collagen type XVI alpha 1, Approved,,1p35-p34, M92642, NM_001856, Collagens, 2194, COL17A1, collagen type XVII alpha 1, BPAG2, BP180,10q24.3, M91669, NM_130778, NM_000494, Collagens, 2195, COL18A1, collagen type XVIII alpha 1, KNO, KS, KNO1, "endostatin", 21q22.3, Collagens, 2196, COL19A1, collagen type XIX alpha 1, Approved,,6q12-q13, Collagens, 14670, COL20A1, collagen type XX alpha 1, Approved,KIAA1510,20q13.33, BC043183, NM_020882, Collagens|Fibronectin type III domain containing, 17025, COL21A1, collagen type XXI alpha 1, Approved,,6p12.3-p11.2, AF330693,Collagens, 22989, COL22A1, collagen type XXII alpha 1, Approved,,8q24.3, AF406780, XM_291257, Collagens, 22990, COL23A1, collagen type XXIII alpha 1, Approved,DKFZp434K0621,5q35.3, AL137461, NM_173465, Collagens, 20821, COL24A1, collagen type XXIV alpha 1, Approved,,1p22.3-p22.2, AF410793, NM_152890, Collagens, 18603, COL25A1, collagen type XXV alpha 1, Approved,,4q25, AF293340, NM_032518, Collagens, 18038, COL26A1, collagen type XXVI alpha 1, EMID2, Emu2, EMI6, "Emu2 gene", 7q22.1, AJ416091, NM_133457, Collagens|EMI domain containing, 22986, COL27A1, collagen type XXVII alpha 1, Approved,KIAA1870, MGC11337, FLJ11895,9q33.1, AB058773, NM_032888, Collagens, 22442, COL28A1, collagen type XXVIII alpha 1, Approved,,7p21.3, AJ890451, NM_001037763, Collagens, 26978, COLCA2, colorectal cancer associated 2, C11orf93, CASC13, "cancer susceptibility candidate 13", 11q23.1, BC042557, NM_001136105,2220, COLEC10, collectin subfamily member 10, Approved,CL-L1,8q24.12, AB002631,Collectins, 17213, COLEC11, collectin subfamily member 11, Approved,MGC3279, CL-K1, "Collectin K1", 2p25.3, BC000078, NM_024027, Collectins, 16016, COLEC12, collectin subfamily member 12, Approved,SRCL, CL-P1, SCARA4,18p11.32, AB038518,Collectins, 26182, COLGALT1, collagen beta(1-O)galactosyltransferase 1, GLT25D1, FLJ22329, "Procollagen galactosyltransferase", 19p13.11, AK075541, NM_024656, Collagen beta(1-O)galactosyltransferases, 16790, COLGALT2, collagen beta(1-O)galactosyltransferase 2, C1orf17, GLT25D2, KIAA0584, "Procollagen galactosyltransferase", 1q25, AF288389, NM_015101, Collagen beta(1-O)galactosyltransferases, 2226, COLQ, collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase, Approved,EAD, "single strand of homotrimeric collagen-like tail subunit of asymmetric acetylcholinesterase", "collagenic tail of endplate acetylcholinesterase", "AChE Q subunit", "acetylcholinesterase-associated collagen", 3p, AF057036, NM_005677,23024, COMMD1, copper metabolism domain containing 1, C2orf5, MURR1, MGC27155, "copper metabolism gene MURR1", "COMM domain containing 1", 2p15, BC022046, NM_152516, COMM domain containing, 24993, COMMD2, COMM domain containing 2, Approved,HSPC042,3q25.1, AY542158, NM_016094, COMM domain containing, 23332, COMMD3, COMM domain containing 3, C10orf8, BUP,10p12.2, AY542159, NM_012071, COMM domain containing, 26027, COMMD4, COMM domain containing 4, Approved,FLJ20452,15q24.2, AY542160, NM_017828, COMM domain containing, 17902, COMMD5, COMM domain containing 5, Approved,HT002, FLJ13008, HCaRG,8q24.3, AK023070, NM_014066, COMM domain containing, 24015, COMMD6, COMM domain containing 6, Approved,Acrg,13q22, AY542161, XM_085023, COMM domain containing, 16223, COMMD7, COMM domain containing 7, C20orf92, dJ1085F17.3,20q11, AY542162, NM_053041, COMM domain containing, 26036, COMMD8, COMM domain containing 8, Approved,FLJ20502,4p12, AY542163, NM_017845, COMM domain containing, 25014, COMMD9, COMM domain containing 9, Approved,HSPC166, FLJ31106,11p13, AY542164, NM_014186, COMM domain containing, 30201, COMMD10, COMM domain containing 10, Approved,PTD002,5q23.1, AY542165, NM_016144, COMM domain containing, 2227, COMP, cartilage oligomeric matrix protein, PSACH, EDM1, EPD1, MED, THBS5, "thrombospondin-5", 19p13.1, L32137, NM_000095,2228, COMT, catechol-O-methyltransferase, Approved,,22q11.21,NM_000754,26309, COMTD1, catechol-O-methyltransferase domain containing 1, Approved,FLJ23841,10q22.2,NM_144589,2230, COPA, coatomer protein complex subunit alpha, Approved,HEP-COP, "proxenin", "xenin", 1q23.2, U24105, NM_004371, WD repeat domain containing|Endogenous ligands, 2231, COPB1, coatomer protein complex subunit beta 1, COPB, 11p15.2, BC037280, NM_016451,2232, COPB2, coatomer protein complex subunit beta 2 (beta prime), Approved,beta-COP, betaprime-COP	undefined	Phosphoric diester hydrolase activity (GO:0008081)	undefined	undefined	nucleus; cytoskeleton; microtubules	cytoskeleton
